recrutiment_year,recruitment_type,test,gender,value,awarded_score
2021,hd,1000mt_run,m,2,<3’ 30’’1
2021,hd,1000mt_run,m,"1,6",3’30’’1 – 3’40’’0
2021,hd,1000mt_run,m,"1,2",3’40’’1 – 4’00’’0
2021,hd,1000mt_run,m,"0,8",4’00’’1 – 4’10’’0
2021,hd,1000mt_run,m,"0,4",4’10’’1 – 4’20’’0
2021,hd,1000mt_run,m,Esito sfavorevole,>4’20’’0
2021,hd,100mt_run,m,1,<12’’6
2021,hd,100mt_run,m,"0,8",12’’6 –13’’0
2021,hd,100mt_run,m,"0,6",13’’1 –13’’5
2021,hd,100mt_run,m,"0,4",13’’6 –14’’0
2021,hd,100mt_run,m,"0,2",14’’1 –15’’5
2021,hd,100mt_run,m,0,>15’’5
2021,hd,push_ups,m,1,>46
2021,hd,push_ups,m,"0,8",40 – 46
2021,hd,push_ups,m,"0,6",30 – 39
2021,hd,push_ups,m,"0,4",20 – 29
2021,hd,push_ups,m,"0,2",13 - 19
2021,hd,push_ups,m,0,<13
2021,hd,sit_ups,m,2,>85
2021,hd,sit_ups,m,"1,6",71 – 85
2021,hd,sit_ups,m,"1,2",56 – 70
2021,hd,sit_ups,m,"0,8",41 – 55
2021,hd,sit_ups,m,"0,4",30 - 40
2021,hd,sit_ups,m,0,<30
2021,hd,1000mt_run,f,2,<4’ 00’’1
2021,hd,1000mt_run,f,"1,6",4’00’’1 – 4’10’’0
2021,hd,1000mt_run,f,"1,2",4’10’’1 – 4’20’’0
2021,hd,1000mt_run,f,"0,8",4’20’’1 – 4’40’’0
2021,hd,1000mt_run,f,"0,4",4’40’’1 – 5’00’’0
2021,hd,1000mt_run,f,Esito sfavorevole,>5’00’’0
2021,hd,100mt_run,f,1,< 15’’1
2021,hd,100mt_run,f,"0,8",15’’1 – 16’’0
2021,hd,100mt_run,f,"0,6",16’’1 – 17’’0
2021,hd,100mt_run,f,"0,4",17’’1 – 18’’0
2021,hd,100mt_run,f,"0,2",18’’1 – 19’’0
2021,hd,100mt_run,f,0,>19’’0
2021,hd,push_ups,f,1,>29
2021,hd,push_ups,f,"0,8",25 – 29
2021,hd,push_ups,f,"0,6",20 – 24
2021,hd,push_ups,f,"0,4",15 – 19
2021,hd,push_ups,f,"0,2",11 - 14
2021,hd,push_ups,f,0,<11
2021,hd,sit_ups,f,2,>70
2021,hd,sit_ups,f,"1,6",56 – 70
2021,hd,sit_ups,f,"1,2",41 – 55
2021,hd,sit_ups,f,"0,8",31 – 40
2021,hd,sit_ups,f,"0,4",20 - 30
2021,hd,sit_ups,f,0,<20
